App,review_count,avg_polarity,avg_subjectivity,pos_pct,neg_pct,neu_pct
10 Best Foods for You,194,0.4707328206587227,0.49545471424337406,83.5,5.2,11.3
104 找工作 - 找工作 找打工 找兼職 履歷健檢 履歷診療室,40,0.3924045634920635,0.5455162698412699,77.5,2.5,20.0
11st,40,0.18129421446608945,0.4439569354256855,57.5,17.5,25.0
1800 Contacts - Lens Store,80,0.3181447736291486,0.5910984848484848,80.0,7.5,12.5
1LINE – One Line with One Touch,38,0.19629029961266803,0.5573153053087264,71.1,21.1,7.9
2018Emoji Keyboard 😂 Emoticons Lite -sticker&gif,32,0.4495659722222222,0.5205729166666667,78.1,3.1,18.8
21-Day Meditation Experience,80,0.25801367845117845,0.5510479902042402,85.0,12.5,2.5
"2Date Dating App, Love and matching",38,0.2802671702652353,0.5583907406662825,68.4,18.4,13.2
2GIS: directory & navigator,40,0.22312904265873015,0.3966579365079365,57.5,15.0,27.5
2RedBeans,39,0.4121991790261021,0.5978684477915248,79.5,5.1,15.4
2ndLine - Second Phone Number,40,0.16896820887445888,0.3770225018037518,42.5,17.5,40.0
30 Day Fitness Challenge - Workout at Home,31,0.33353687339286414,0.5585879078678617,87.1,6.5,6.5
365Scores - Live Scores,7,0.4383116883116883,0.6396103896103896,71.4,0.0,28.6
3D Live Neon Weed Launcher,2,0.5681818181818181,0.4,100.0,0.0,0.0
4 in a Row,20,0.28114351851851854,0.5781031746031746,85.0,15.0,0.0
4K Wallpapers and Ultra HD Backgrounds,9,0.17932800224466894,0.594328202661536,77.8,22.2,0.0
591房屋交易-租屋、中古屋、新建案、實價登錄、別墅透天、公寓套房、捷運、買房賣房行情、房價房貸查詢,15,0.08079241071428571,0.3217280801209373,33.3,13.3,53.3
591房屋交易-香港,9,0.22291666666666668,0.31342592592592594,55.6,11.1,33.3
7 Cups: Anxiety & Stress Chat,8,0.3246701388888889,0.5671585648148147,87.5,12.5,0.0
7 Day Food Journal Challenge,9,0.18941137566137567,0.6002028218694886,100.0,0.0,0.0
7 Minute Workout,11,0.41027777777777774,0.6212481962481963,90.9,9.1,0.0
7 Weeks - Habit & Goal Tracker,14,0.14282013621299336,0.49746949974628546,71.4,28.6,0.0
8 Ball Pool,219,0.0012520071606734009,0.4913517369146038,47.5,48.4,4.1
850 Sports News Digest,39,0.5428597480561766,0.6924202606002057,97.4,2.6,0.0
8fit Workouts & Meal Planner,171,0.2648642413061273,0.5346484758473062,80.1,11.1,8.8
